Username,Condition.Description,Stimuli.Cue,Procedure.Item,affordance_parsed,word,lemma,POS,Group
M20264728_agr,Version 68,zucchini,2027,throw,throw,throw,VERB,MSU-TEXAS
M20264728_agr,Version 68,zucchini,2027,play,play,play,VERB,MSU-TEXAS
M20264728_agr,Version 68,zucchini,2027,fry,fry,fry,VERB,MSU-TEXAS
M20264728_agr,Version 68,teaspoon,2041,stir,stir,stir,VERB,MSU-TEXAS
M20264728_agr,Version 68,teaspoon,2041,measure,measure,measure,VERB,MSU-TEXAS
M20264728_agr,Version 68,teaspoon,2041,throw,throw,throw,VERB,MSU-TEXAS
M20264728_agr,Version 68,teaspoon,2041,place,place,place,VERB,MSU-TEXAS
M20264728_agr,Version 68,teaspoon,2041,store,store,store,VERB,MSU-TEXAS
M20264728_agr,Version 68,teaspoon,2041,buy,buy,buy,VERB,MSU-TEXAS
M20264728_agr,Version 68,teaspoon,2041,make,make,make,VERB,MSU-TEXAS
M20264728_agr,Version 68,teaspoon,2041,lose,lose,lose,VERB,MSU-TEXAS
M20264728_agr,Version 68,stoneware,2030,make,make,make,VERB,MSU-TEXAS
M20264728_agr,Version 68,stoneware,2030,buy,buy,buy,VERB,MSU-TEXAS
M20264728_agr,Version 68,stoneware,2030,place,place,place,VERB,MSU-TEXAS
M20264728_agr,Version 68,stoneware,2030,store,store,store,VERB,MSU-TEXAS
M20264728_agr,Version 68,supper,2014,eat,eat,eat,VERB,MSU-TEXAS
M20264728_agr,Version 68,supper,2014,throw,throw,throw,VERB,MSU-TEXAS
M20264728_agr,Version 68,supper,2014,play,play,play,VERB,MSU-TEXAS
M20264728_agr,Version 68,supper,2014,vomit,vomit,vomit,VERB,MSU-TEXAS
M20264728_agr,Version 68,supper,2014,clean,clean,clean,VERB,MSU-TEXAS
M20264728_agr,Version 68,supper,2014,make,make,make,VERB,MSU-TEXAS
M20264728_agr,Version 68,supper,2014,buy,buy,buy,VERB,MSU-TEXAS
M20264728_agr,Version 68,supper,2014,grow,grow,grow,VERB,MSU-TEXAS
M20264728_agr,Version 68,supper,2014,waste,waste,waste,VERB,MSU-TEXAS
M20264728_agr,Version 68,slacks,2026,wear,wear,wear,VERB,MSU-TEXAS
M20264728_agr,Version 68,slacks,2026,tear,tear,tear,VERB,MSU-TEXAS
M20264728_agr,Version 68,slacks,2026,throw,throw,throw,VERB,MSU-TEXAS
M20264728_agr,Version 68,slacks,2026,buy,buy,buy,VERB,MSU-TEXAS
M20264728_agr,Version 68,slacks,2026,find,find,find,VERB,MSU-TEXAS
M20264728_agr,Version 68,slacks,2026,store,store,store,VERB,MSU-TEXAS
M20264728_agr,Version 68,umbrella,2020,dry,dry,dry,VERB,MSU-TEXAS
M20264728_agr,Version 68,umbrella,2020,clean,clean,clean,VERB,MSU-TEXAS
M20264728_agr,Version 68,umbrella,2020,shelter,shelter,shelter,VERB,MSU-TEXAS
M20264728_agr,Version 68,umbrella,2020,provide,provide,provide,VERB,MSU-TEXAS
M20264728_agr,Version 68,bellman,2029,open,open,open,VERB,MSU-TEXAS
M20264728_agr,Version 68,bellman,2029,close,close,close,VERB,MSU-TEXAS
M20264728_agr,Version 68,bellman,2029,service,service,service,VERB,MSU-TEXAS
M20264728_agr,Version 68,bellman,2029,talk,talk,talk,VERB,MSU-TEXAS
M20264728_agr,Version 68,chickenfeed,2025,eat,eat,eat,VERB,MSU-TEXAS
M20264728_agr,Version 68,chickenfeed,2025,store,store,store,VERB,MSU-TEXAS
M20264728_agr,Version 68,chickenfeed,2025,buy,buy,buy,VERB,MSU-TEXAS
M20264728_agr,Version 68,chickenfeed,2025,grow,grow,grow,VERB,MSU-TEXAS
M20264728_agr,Version 68,chickenfeed,2025,make,make,make,VERB,MSU-TEXAS
M20264728_agr,Version 68,chickenfeed,2025,bake,bake,bake,VERB,MSU-TEXAS
M20264728_agr,Version 68,chickenfeed,2025,take,take,take,VERB,MSU-TEXAS
M20264728_agr,Version 68,shipman,2017,sail,sail,sail,VERB,MSU-TEXAS
M20264728_agr,Version 68,shipman,2017,support,support,support,VERB,MSU-TEXAS
M20264728_agr,Version 68,shipman,2017,provide,provide,provide,VERB,MSU-TEXAS
M20264728_agr,Version 68,shipman,2017,guide,guide,guide,VERB,MSU-TEXAS
M20264728_agr,Version 68,shipman,2017,learn,learn,learn,VERB,MSU-TEXAS
M20264728_agr,Version 68,shipman,2017,earn,earn,earn,VERB,MSU-TEXAS
M20264728_agr,Version 68,dorm,2037,sleep,sleep,sleep,VERB,MSU-TEXAS
M20264728_agr,Version 68,dorm,2037,study,study,study,VERB,MSU-TEXAS
M20264728_agr,Version 68,dorm,2037,eat,eat,eat,VERB,MSU-TEXAS
M20264728_agr,Version 68,dorm,2037,cook,cook,cake,VERB,MSU-TEXAS
M20264728_agr,Version 68,dorm,2037,clean,clean,clean,VERB,MSU-TEXAS
M20264728_agr,Version 68,dorm,2037,learn,learn,learn,VERB,MSU-TEXAS
M20264728_agr,Version 68,dorm,2037,grow,grow,grow,VERB,MSU-TEXAS
M20264728_agr,Version 68,pig,2031,eat,eat,eat,VERB,MSU-TEXAS
M20264728_agr,Version 68,pig,2031,pet,pet,pet,VERB,MSU-TEXAS
M20264728_agr,Version 68,pig,2031,grow,grow,grow,VERB,MSU-TEXAS
M20264728_agr,Version 68,pig,2031,feed,feed,feed,VERB,MSU-TEXAS
M20265707_bms,Version 13,vest,379,to wear,wear,wear,VERB,MSU-TEXAS
M20265707_bms,Version 13,vest,379,to use as protection,use,use,VERB,MSU-TEXAS
M20265707_bms,Version 13,vest,379,to use as protection,protection,protect,VERB,MSU-TEXAS
M20265707_bms,Version 13,vest,379,to style,style,style,NOUN,MSU-TEXAS
M20265707_bms,Version 13,vest,379,to wash,wash,wash,VERB,MSU-TEXAS
M20265707_bms,Version 13,vest,379,to dry,dry,dry,ADJ,MSU-TEXAS
M20265707_bms,Version 13,vest,379,to take off,take,take,VERB,MSU-TEXAS
M20265707_bms,Version 13,pharmacist,387,to get medication from,get,get,VERB,MSU-TEXAS
M20265707_bms,Version 13,pharmacist,387,to get medication from,medication,medication,NOUN,MSU-TEXAS
M20265707_bms,Version 13,pharmacist,387,to communicate with,communicate,communicate,VERB,MSU-TEXAS
M20265707_bms,Version 13,pharmacist,387,to befriend,befriend,befriend,NOUN,MSU-TEXAS
M20265707_bms,Version 13,pharmacist,387,to work with,work,work,VERB,MSU-TEXAS
M20265707_bms,Version 13,pharmacist,387,to work towards,work,work,VERB,MSU-TEXAS
M20265707_bms,Version 13,pharmacist,387,to work towards,towards,towards,ADP,MSU-TEXAS
M20265707_bms,Version 13,pharmacist,387,to argue with,argue,argue,VERB,MSU-TEXAS
M20265707_bms,Version 13,cabinet,391,to place plates,place,place,VERB,MSU-TEXAS
M20265707_bms,Version 13,cabinet,391,to place plates,plates,plate,NOUN,MSU-TEXAS
M20265707_bms,Version 13,cabinet,391,to place bowls,place,place,VERB,MSU-TEXAS
M20265707_bms,Version 13,cabinet,391,to place bowls,bowls,bowl,NOUN,MSU-TEXAS
M20265707_bms,Version 13,cabinet,391,to use for storage,use,use,VERB,MSU-TEXAS
M20265707_bms,Version 13,cabinet,391,to use for storage,storage,store,VERB,MSU-TEXAS
M20265707_bms,Version 13,cabinet,391,to fill,fill,fill,VERB,MSU-TEXAS
M20265707_bms,Version 13,crawfish,384,to eat,eat,eat,VERB,MSU-TEXAS
M20265707_bms,Version 13,crawfish,384,to watch,watch,watch,VERB,MSU-TEXAS
M20265707_bms,Version 13,crawfish,384,to cook,cook,cake,VERB,MSU-TEXAS
M20265707_bms,Version 13,crawfish,384,to capture,capture,capture,VERB,MSU-TEXAS
M20265707_bms,Version 13,trinket,372,to use for enjoyment,use,use,VERB,MSU-TEXAS
M20265707_bms,Version 13,trinket,372,to use for enjoyment,enjoyment,enjoy,VERB,MSU-TEXAS
M20265707_bms,Version 13,trinket,372,to fiddle with ,fiddle,fiddle,VERB,MSU-TEXAS
M20265707_bms,Version 13,panhandler,375,to communicate with,communicate,communicate,VERB,MSU-TEXAS
M20265707_bms,Version 13,panhandler,375,to offer money,offer,offer,VERB,MSU-TEXAS
M20265707_bms,Version 13,panhandler,375,to offer money,money,money,NOUN,MSU-TEXAS
M20265707_bms,Version 13,panhandler,375,to refuse money,refuse,refuse,VERB,MSU-TEXAS
M20265707_bms,Version 13,panhandler,375,to refuse money,money,money,NOUN,MSU-TEXAS
M20265707_bms,Version 13,panhandler,375,to sympathize with,sympathize,sympathize,VERB,MSU-TEXAS
M20265707_bms,Version 13,squirrel,390,to watch,watch,watch,VERB,MSU-TEXAS
M20265707_bms,Version 13,squirrel,390,to nurture,nurture,nurture,VERB,MSU-TEXAS
M20265707_bms,Version 13,squirrel,390,to feed,feed,feed,VERB,MSU-TEXAS
M20265707_bms,Version 13,squirrel,390,to eat,eat,eat,VERB,MSU-TEXAS
M20265707_bms,Version 13,squirrel,390,to run over,run,run,VERB,MSU-TEXAS
M20265707_bms,Version 13,squirrel,390,to befriend,befriend,befriend,VERB,MSU-TEXAS
M20265707_bms,Version 13,vine,363,to grow,grow,grow,VERB,MSU-TEXAS
M20265707_bms,Version 13,vine,363,to eat,eat,eat,VERB,MSU-TEXAS
M20265707_bms,Version 13,vine,363,to use for wine,use,use,VERB,MSU-TEXAS
M20265707_bms,Version 13,vine,363,to use for wine,wine,wine,NOUN,MSU-TEXAS
M20265707_bms,Version 13,spareribs,388,to eat,eat,eat,VERB,MSU-TEXAS
M20265707_bms,Version 13,spareribs,388,to cook,cook,cake,VERB,MSU-TEXAS
M20265707_bms,Version 13,spareribs,388,to feed ,feed,feed,VERB,MSU-TEXAS
M20265707_bms,Version 13,anus,371,to laugh at,laugh,laugh,VERB,MSU-TEXAS
M20265707_bms,Version 13,anus,371,to defecate with,defecate,defecate,VERB,MSU-TEXAS
M20265707_bms,Version 13,anus,371,to fart with,fart,fart,VERB,MSU-TEXAS
M20265707_bms,Version 13,anus,371,to be born with,born,bear,VERB,MSU-TEXAS
M20265707_bms,Version 13,vein,368,to pump blood,pump,pump,VERB,MSU-TEXAS
M20265707_bms,Version 13,vein,368,to pump blood,blood,blood,VERB,MSU-TEXAS
M20265707_bms,Version 13,vein,368,to cut,cut,cut,VERB,MSU-TEXAS
M20265707_bms,Version 13,vein,368,to live with,live,live,VERB,MSU-TEXAS
M20265707_bms,Version 13,soil,381,to grow plants,grow,grow,VERB,MSU-TEXAS
M20265707_bms,Version 13,soil,381,to grow plants,plants,plant,NOUN,MSU-TEXAS
M20265707_bms,Version 13,soil,381,to walk on,walk,walk,VERB,MSU-TEXAS
M20265707_bms,Version 13,soil,381,to dig up,dig,dig,VERB,MSU-TEXAS
M20265707_bms,Version 13,soil,381,to lay on,lay,lay,VERB,MSU-TEXAS
M20265707_bms,Version 13,soil,381,to water,water,water,VERB,MSU-TEXAS
M20265707_bms,Version 13,copybook,389,to learn from,learn,learn,VERB,MSU-TEXAS
M20265707_bms,Version 13,testes,377,to make sperm,make,make,VERB,MSU-TEXAS
M20265707_bms,Version 13,testes,377,to make sperm,sperm,sperm,NOUN,MSU-TEXAS
M20265707_bms,Version 13,testes,377,to use for reproduction,use,use,VERB,MSU-TEXAS
M20265707_bms,Version 13,testes,377,to use for reproduction,reproduction,reproduce,VERB,MSU-TEXAS
M20265707_bms,Version 13,cotton,380,to make clothes with,make,make,VERB,MSU-TEXAS
M20265707_bms,Version 13,cotton,380,to make clothes with,clothes,clothes,NOUN,MSU-TEXAS
M20265707_bms,Version 13,cotton,380,to pick,pick,pick,VERB,MSU-TEXAS
M20265707_bms,Version 13,kitty,366,to pet,pet,pet,VERB,MSU-TEXAS
M20265707_bms,Version 13,kitty,366,to love,love,love,VERB,MSU-TEXAS
M20265707_bms,Version 13,kitty,366,to take care of,take,take,VERB,MSU-TEXAS
M20265707_bms,Version 13,kitty,366,to take care of,care,care,VERB,MSU-TEXAS
M20265707_bms,Version 13,kitty,366,to live with,live,live,VERB,MSU-TEXAS
M20265707_bms,Version 13,kitty,366,to sleep with,sleep,sleep,VERB,MSU-TEXAS
M20265707_bms,Version 13,kitty,366,to feed,feed,feed,VERB,MSU-TEXAS
M20265707_bms,Version 13,kitty,366,to bathe ,bathe,bathe,VERB,MSU-TEXAS
M20265707_bms,Version 13,addict,367,to supply,supply,supply,NOUN,MSU-TEXAS
M20265707_bms,Version 13,addict,367,to intervene,intervene,intervene,VERB,MSU-TEXAS
M20265707_bms,Version 13,addict,367,to feel bad for,feel,feel,VERB,MSU-TEXAS
M20265707_bms,Version 13,addict,367,to feel bad for,bad,bad,ADJ,MSU-TEXAS
M20265707_bms,Version 13,wagon,365,to carry heavy objects with,carry,carry,VERB,MSU-TEXAS
M20265707_bms,Version 13,wagon,365,to carry heavy objects with,heavy,heavy,ADJ,MSU-TEXAS
M20265707_bms,Version 13,wagon,365,to carry heavy objects with,objects,object,VERB,MSU-TEXAS
M20265707_bms,Version 13,wagon,365,to ride,ride,ride,VERB,MSU-TEXAS
M20265707_bms,Version 13,wagon,365,to live in ,live,live,VERB,MSU-TEXAS
M20265707_bms,Version 13,kelp,374,to eat,eat,eat,VERB,MSU-TEXAS
M20265707_bms,Version 13,kelp,374,to grow,grow,grow,VERB,MSU-TEXAS
M20265707_bms,Version 13,kelp,374,to feed,feed,feed,VERB,MSU-TEXAS
M20265707_bms,Version 13,jogger,378,to run with,run,run,VERB,MSU-TEXAS
M20265707_bms,Version 13,jogger,378,to exercise with,exercise,exercise,VERB,MSU-TEXAS
M20265707_bms,Version 13,topsoil,370,to grow plants with,grow,grow,VERB,MSU-TEXAS
M20265707_bms,Version 13,topsoil,370,to grow plants with,plants,plant,VERB,MSU-TEXAS
M20265707_bms,Version 13,topsoil,370,to dig up ,dig,dig,VERB,MSU-TEXAS
M20265707_bms,Version 13,rake,386,to collect leaves,collect,collect,VERB,MSU-TEXAS
M20265707_bms,Version 13,rake,386,to collect leaves,leaves,leave,VERB,MSU-TEXAS
M20265707_bms,Version 13,rake,386,to hit with,hit,hit,VERB,MSU-TEXAS
M20265707_bms,Version 13,rake,386,to break ,break,break,VERB,MSU-TEXAS
M20265707_bms,Version 13,liqueur,373,to drink,drink,drink,VERB,MSU-TEXAS
M20265707_bms,Version 13,liqueur,373,to get drunk with,get,get,VERB,MSU-TEXAS
M20265707_bms,Version 13,liqueur,373,to get drunk with,drunk,drink,VERB,MSU-TEXAS
M20265707_bms,Version 13,eraser,385,to erase writing,erase,erase,VERB,MSU-TEXAS
M20265707_bms,Version 13,eraser,385,to erase writing,writing,write,VERB,MSU-TEXAS
M20265707_bms,Version 13,eraser,385,to throw,throw,throw,VERB,MSU-TEXAS
M20265707_bms,Version 13,amulet,369,to admire,admire,admire,VERB,MSU-TEXAS
M20265707_bms,Version 13,amulet,369,to collect,collect,collect,VERB,MSU-TEXAS
M20265707_bms,Version 13,menu,382,to read,read,read,VERB,MSU-TEXAS
M20265707_bms,Version 13,menu,382,to look at,look,look,VERB,MSU-TEXAS
M20265707_bms,Version 13,menu,382,to decide ,decide,decide,VERB,MSU-TEXAS
M20265707_bms,Version 13,playroom,362,to play in,play,play,VERB,MSU-TEXAS
M20265707_bms,Version 13,playroom,362,to observe,observe,observe,VERB,MSU-TEXAS
M20265707_bms,Version 13,blackberry,376,to eat,eat,eat,VERB,MSU-TEXAS
M20265707_bms,Version 13,blackberry,376,to feed,feed,feed,VERB,MSU-TEXAS
M20265707_bms,Version 13,blackberry,376,to grow,grow,grow,VERB,MSU-TEXAS
M20266105JS,Version 14,suede,392,step on,step,step on,VERB,MSU-TEXAS
M20266105JS,Version 14,granddaughter,393,feed,feed,feed,VERB,MSU-TEXAS
M20266105JS,Version 14,granddaughter,393,pick up,pick,pick,VERB,MSU-TEXAS
M20266105JS,Version 14,granddaughter,393,dress up,dress,dress,VERB,MSU-TEXAS
M20266105JS,Version 14,milkshake,394,drink,drink,drink,VERB,MSU-TEXAS
M20266105JS,Version 14,milkshake,394,throw,throw,throw,VERB,MSU-TEXAS
M20266105JS,Version 14,milkshake,394,step on,step,step on,VERB,MSU-TEXAS
M20266105JS,Version 14,milkshake,394,crush,crush,crush,NOUN,MSU-TEXAS
M20266105JS,Version 14,turnip,413,eat,eat,eat,VERB,MSU-TEXAS
M20266105JS,Version 14,turnip,413,throw,throw,throw,VERB,MSU-TEXAS
M20266105JS,Version 14,turnip,413,step on,step,step on,VERB,MSU-TEXAS
M20266105JS,Version 14,turnip,413,cook,cook,cake,VERB,MSU-TEXAS
M20266105JS,Version 14,broker,405,purchase,purchase,purchase,VERB,MSU-TEXAS
M20266105JS,Version 14,broker,405,sell,sell,sell,VERB,MSU-TEXAS
M20266105JS,Version 14,broker,405,slap,slap,slap,VERB,MSU-TEXAS
M20266105JS,Version 14,driftwood,396,fuel,fuel,fuel,VERB,MSU-TEXAS
M20266105JS,Version 14,driftwood,396,furnish,furnish,furnish,VERB,MSU-TEXAS
M20266105JS,Version 14,driftwood,396,cut,cut,cut,VERB,MSU-TEXAS
M20266105JS,Version 14,driftwood,396,chop,chop,chop,VERB,MSU-TEXAS
M20266105JS,Version 14,hutch,401,step on,step,step on,VERB,MSU-TEXAS
M20266105JS,Version 14,cocktail,416,drink,drink,drink,VERB,MSU-TEXAS
M20266105JS,Version 14,cocktail,416,light on fire,light,light,VERB,MSU-TEXAS
M20266105JS,Version 14,cocktail,416,light on fire,fire,fire,NOUN,MSU-TEXAS
M20266105JS,Version 14,cocktail,416,throw,throw,throw,VERB,MSU-TEXAS
M20266105JS,Version 14,cocktail,416,pour,pour,pour,VERB,MSU-TEXAS
M20266105JS,Version 14,brassiere,410,throw,throw,throw,VERB,MSU-TEXAS
M20266105JS,Version 14,hairpin,398,throw,throw,throw,VERB,MSU-TEXAS
M20266105JS,Version 14,hairpin,398,tie hair,tie,tie,VERB,MSU-TEXAS
M20266105JS,Version 14,hairpin,398,tie hair,hair,hair,NOUN,MSU-TEXAS
M20266105JS,Version 14,hairpin,398,step on,step,step on,VERB,MSU-TEXAS
M20266105JS,Version 14,tuba,402,blow,blow,blow,VERB,MSU-TEXAS
M20266105JS,Version 14,tuba,402,music,music,music,NOUN,MSU-TEXAS
M20266105JS,Version 14,hamstring,409,slap,slap,slap,VERB,MSU-TEXAS
M20266105JS,Version 14,hamstring,409,stretch,stretch,stretch,VERB,MSU-TEXAS
M20266105JS,Version 14,hamstring,409,strengthen,strengthen,strengthen,VERB,MSU-TEXAS
M20266105JS,Version 14,crayon,395,eat,eat,eat,VERB,MSU-TEXAS
M20266105JS,Version 14,crayon,395,color,color,color,VERB,MSU-TEXAS
M20266105JS,Version 14,crayon,395,writing,writing,write,VERB,MSU-TEXAS
M20266105JS,Version 14,crayon,395,drawing,drawing,drawe,VERB,MSU-TEXAS
M20266105JS,Version 14,author,399,write,write,write,VERB,MSU-TEXAS
M20266105JS,Version 14,author,399,read,read,read,VERB,MSU-TEXAS
M20266105JS,Version 14,fisherman,419,collect fish,collect,collect,VERB,MSU-TEXAS
M20266105JS,Version 14,fisherman,419,collect fish,fish,fish,NOUN,MSU-TEXAS
M20266105JS,Version 14,fisherman,419,cook fish,cook,cake,VERB,MSU-TEXAS
M20266105JS,Version 14,fisherman,419,cook fish,fish,fish,NOUN,MSU-TEXAS
M20266105JS,Version 14,fisherman,419,skin fish,skin,skin,VERB,MSU-TEXAS
M20266105JS,Version 14,fisherman,419,skin fish,fish,fish,NOUN,MSU-TEXAS
M20266105JS,Version 14,doorstep,397,step on,step,step on,VERB,MSU-TEXAS
M20266105JS,Version 14,cleat,408,running,running,run,VERB,MSU-TEXAS
M20266105JS,Version 14,cleat,408,walking,walking,walk,VERB,MSU-TEXAS
M20266105JS,Version 14,pedestal,420,holding,holding,hold,VERB,MSU-TEXAS
M20266105JS,Version 14,vagina,400,sex,sex,sex,VERB,MSU-TEXAS
M20266105JS,Version 14,clip,407,hold paper,hold,hold,VERB,MSU-TEXAS
M20266105JS,Version 14,clip,407,hold paper,paper,paper,NOUN,MSU-TEXAS
M20266105JS,Version 14,clip,407,throw,throw,throw,VERB,MSU-TEXAS
M20266105JS,Version 14,pellet,417,shoot,shoot,shoot,VERB,MSU-TEXAS
M20266105JS,Version 14,pellet,417,throw,throw,throw,VERB,MSU-TEXAS
M20266105JS,Version 14,paperhanger,411,hang paper,hang,hang,VERB,MSU-TEXAS
M20266105JS,Version 14,paperhanger,411,hang paper,paper,paper,NOUN,MSU-TEXAS
M20266105JS,Version 14,booth,404,sitting,sitting,sit,VERB,MSU-TEXAS
M20266105JS,Version 14,booth,404,standing,standing,stand,VERB,MSU-TEXAS
M20266105JS,Version 14,doctor,418,medical aid,medical,medical,ADJ,MSU-TEXAS
M20266105JS,Version 14,doctor,418,medical aid,aid,aid,VERB,MSU-TEXAS
M20266105JS,Version 14,flannels,414,wear,wear,wear,VERB,MSU-TEXAS
M20266105JS,Version 14,flannels,414,burn,burn,burn,VERB,MSU-TEXAS
M20266105JS,Version 14,Cheeseburger,403,eat,eat,eat,VERB,MSU-TEXAS
M20266105JS,Version 14,Cheeseburger,403,throw,throw,throw,VERB,MSU-TEXAS
M20266105JS,Version 14,Cheeseburger,403,step on,step,step on,VERB,MSU-TEXAS
M20266105JS,Version 14,Cheeseburger,403,stomp,stomp,stomp,VERB,MSU-TEXAS
M20266105JS,Version 14,Cheeseburger,403,slap,slap,slap,VERB,MSU-TEXAS
M20266105JS,Version 14,earring,406,piercing ear,piercing,pierce,VERB,MSU-TEXAS
M20266105JS,Version 14,earring,406,piercing ear,ear,ear,ADJ,MSU-TEXAS
M20266105JS,Version 14,seasoning,412,put on food,put,put,VERB,MSU-TEXAS
M20266105JS,Version 14,seasoning,412,put on food,food,food,NOUN,MSU-TEXAS
M20266105JS,Version 14,tonic,415,wear,wear,wear,VERB,MSU-TEXAS
M20266105JS,Version 14,cord,421,wrap,wrap,wrap,VERB,MSU-TEXAS
M20266105JS,Version 14,cord,421,trip pver,trip,trip,VERB,MSU-TEXAS
M20284854_KHM,Version 81,mouse,2427,killed,killed,kill,VERB,MSU-TEXAS
M20284854_KHM,Version 81,mouse,2427,scared,scared,scare,VERB,MSU-TEXAS
M20284854_KHM,Version 81,mouse,2427,kept,kept,keep,VERB,MSU-TEXAS
M20284854_KHM,Version 81,mouse,2427,pet,pet,pet,VERB,MSU-TEXAS
M20284854_KHM,Version 81,mouse,2427,hugged,hugged,hug,VERB,MSU-TEXAS
M20284854_KHM,Version 81,mouse,2427,kissed,kissed,kiss,VERB,MSU-TEXAS
M20284854_KHM,Version 81,mouse,2427,trapped,trapped,trap,VERB,MSU-TEXAS
M20284854_KHM,Version 81,mouse,2427,eaten,eaten,eat,VERB,MSU-TEXAS
M20284854_KHM,Version 81,mouse,2427,snuggled,snuggled,snuggle,VERB,MSU-TEXAS
M20284854_KHM,Version 81,mouse,2427,squished,squished,squish,VERB,MSU-TEXAS
M20284854_KHM,Version 81,mouse,2427,set free,set,set,VERB,MSU-TEXAS
M20284854_KHM,Version 81,mouse,2427,set free,free,free,VERB,MSU-TEXAS
M20284854_KHM,Version 81,snow,2424,melted,melted,melt,VERB,MSU-TEXAS
M20284854_KHM,Version 81,snow,2424,eaten,eaten,eat,VERB,MSU-TEXAS
M20284854_KHM,Version 81,snow,2424,licked,licked,lick,VERB,MSU-TEXAS
M20284854_KHM,Version 81,snow,2424,frozen,frozen,freeze,VERB,MSU-TEXAS
M20284854_KHM,Version 81,snow,2424,thrown,thrown,throw,VERB,MSU-TEXAS
M20284854_KHM,Version 81,snow,2424,rolled,rolled,roll,VERB,MSU-TEXAS
M20284854_KHM,Version 81,snow,2424,balled,balled,ball,VERB,MSU-TEXAS
M20284854_KHM,Version 81,snow,2424,kicked,kicked,kick,VERB,MSU-TEXAS
M20284854_KHM,Version 81,snow,2424,played,played,play,VERB,MSU-TEXAS
M20284854_KHM,Version 81,log,2404,sat on,sat,sit,VERB,MSU-TEXAS
M20284854_KHM,Version 81,log,2404,burned,burned,burn,VERB,MSU-TEXAS
M20284854_KHM,Version 81,log,2404,cut,cut,cut,VERB,MSU-TEXAS
M20284854_KHM,Version 81,log,2404,thrown,thrown,throw,VERB,MSU-TEXAS
M20284854_KHM,Version 81,soybean,2431,eaten,eaten,eat,VERB,MSU-TEXAS
M20284854_KHM,Version 81,soybean,2431,washed,washed,washed,VERB,MSU-TEXAS
M20284854_KHM,Version 81,soybean,2431,rinsed,rinsed,rinse,VERB,MSU-TEXAS
M20284854_KHM,Version 81,soybean,2431,cooked,cooked,cook,VERB,MSU-TEXAS
M20284854_KHM,Version 81,soybean,2431,thrown away,thrown,throw,VERB,MSU-TEXAS
M20284854_KHM,Version 81,soybean,2431,thrown away,away,away,ADV,MSU-TEXAS
M20284854_KHM,Version 81,shawl,2414,wrapped,wrapped,wrap,VERB,MSU-TEXAS
M20284854_KHM,Version 81,shawl,2414,worn,worn,wear,VERB,MSU-TEXAS
M20284854_KHM,Version 81,shawl,2414,weaved,weaved,weave,VERB,MSU-TEXAS
M20284854_KHM,Version 81,shawl,2414,made,made,make,VERB,MSU-TEXAS
M20284854_KHM,Version 81,shawl,2414,covered,covered,cover,VERB,MSU-TEXAS
M20284854_KHM,Version 81,shawl,2414,washed,washed,washed,VERB,MSU-TEXAS
M20284854_KHM,Version 81,Mug,2416,drank out of,drank,drink,VERB,MSU-TEXAS
M20284854_KHM,Version 81,Mug,2416,warmed,warmed,war,VERB,MSU-TEXAS
M20284854_KHM,Version 81,Mug,2416,broke,broke,break,VERB,MSU-TEXAS
M20284854_KHM,Version 81,Mug,2416,painted,painted,paint,VERB,MSU-TEXAS
M20284854_KHM,Version 81,Mug,2416,washed,washed,washed,VERB,MSU-TEXAS
M20284854_KHM,Version 81,Mug,2416,dirtied,dirtied,dirtie,VERB,MSU-TEXAS
M20284854_KHM,Version 81,Mug,2416,dried,dried,dry,VERB,MSU-TEXAS
M20284854_KHM,Version 81,Mug,2416,cracked,cracked,crack,VERB,MSU-TEXAS
M20284854_KHM,Version 81,dividers,2428,thrown away,thrown,throw,VERB,MSU-TEXAS
M20284854_KHM,Version 81,dividers,2428,thrown away,away,away,ADV,MSU-TEXAS
M20284854_KHM,Version 81,dividers,2428,kept,kept,keep,VERB,MSU-TEXAS
M20284854_KHM,Version 81,dividers,2428,bought,bought,buy,VERB,MSU-TEXAS
M20284854_KHM,Version 81,dividers,2428,divided,divided,divide,VERB,MSU-TEXAS
M20284854_KHM,Version 81,syringes,2409,disposed of,disposed,dispose,VERB,MSU-TEXAS
M20284854_KHM,Version 81,syringes,2409,cleaned,cleaned,clean,VERB,MSU-TEXAS
M20284854_KHM,Version 81,syringes,2409,pierced,pierced,pierce,VERB,MSU-TEXAS
M20284854_KHM,Version 81,syringes,2409,stung,stung,sting,VERB,MSU-TEXAS
M20284854_KHM,Version 81,syringes,2409,injected,injected,inject,VERB,MSU-TEXAS
M20284854_KHM,Version 81,syringes,2409,withdrawal,withdrawal,withdraw,VERB,MSU-TEXAS
M20284854_KHM,Version 81,cruiser,2419,drove,drove,drive,VERB,MSU-TEXAS
M20284854_KHM,Version 81,cruiser,2419,washed,washed,washed,VERB,MSU-TEXAS
M20284854_KHM,Version 81,cruiser,2419,broke,broke,break,VERB,MSU-TEXAS
M20284854_KHM,Version 81,cruiser,2419,crashed,crashed,crashed,VERB,MSU-TEXAS
M20284854_KHM,Version 81,cruiser,2419,bought,bought,buy,VERB,MSU-TEXAS
M20284854_KHM,Version 81,cruiser,2419,transported,transported,transport,VERB,MSU-TEXAS
M20284854_KHM,Version 81,footbridge,2413,walked,walked,walk,VERB,MSU-TEXAS
M20284854_KHM,Version 81,footbridge,2413,crossed,crossed,cross,VERB,MSU-TEXAS
M20284854_KHM,Version 81,footbridge,2413,ran,ran,run,VERB,MSU-TEXAS
