Cue,n,n affordance,total affordance,,,n ==  number of participants respnding to cue
eyewash,27,24,47,,,
earplugs,27,24,72,,,
dustbin,27,24,69,,,
dressmaker,27,24,55,,,
doorstop,27,21,51,,,
dollhouse,27,25,79,,,
cornflower,27,21,45,,,
cornflakes,27,25,74,,,
coaster,27,23,62,,,
clock,27,25,71,,,
cleavage,27,20,34,,,
clamshell,27,22,51,,,
chin,27,23,67,,,
chimney,27,20,36,,,
ceramics,27,25,73,,,
catalogue,27,24,69,,,
cardboard,27,27,84,,,
calender,27,25,57,,,
butterscotch,27,21,50,,,
busman,27,24,56,,,
building,27,25,63,,,
builder,27,24,52,,,
broomstick,27,23,55,,,
bowl,27,21,65,,,
booklet,27,25,74,,,
bluefish,27,26,78,,,
blowtorch,27,24,54,,,
beret,27,24,45,,,
baseboard,27,20,37,,,
astronaut,27,21,55,,,
ambulance,27,23,49,,,
splinter,27,23,40,,,
woodcutter,27,23,44,,,
goose,27,23,55,,,
packaging,27,26,66,,,
skewer,27,22,50,,,
elevator,27,22,39,,,
appetizer,27,22,57,,,
dishwasher,27,26,66,,,
guard,27,24,58,,,
semen,27,20,35,,,
breastplate,27,22,39,,,
coupon,27,25,47,,,
gangster,27,21,42,,,
condominium,27,24,84,,,
piano,27,24,56,,,
seaweed,27,21,52,,,
can,27,24,80,,,
gumdrop,27,24,65,,,
bell,27,24,69,,,
toiletry,27,23,58,,,
spinach,27,26,86,,,
organ,27,24,74,,,
washroom,27,24,64,,,
guesthouse,27,24,77,,,
frog,27,23,57,,,
newsagent,27,22,56,,,
stewardess,27,25,61,,,
wart,27,21,40,,,
jacket,27,27,87,,,
bubble,27,26,59,,,
gingersnap,27,26,59,,,
fingerboard,27,21,35,,,
leech,27,27,47,,,
bookseller,27,25,53,,,
groom,27,23,57,,,
headphones,27,25,72,,,
gearbox,27,23,46,,,
feline,27,20,63,,,
linoleum,27,21,53,,,
strongbox,27,23,45,,,
accordion,27,23,56,,,
altarpiece,27,24,55,,,
rancher,27,21,54,,,
pooch,27,21,55,,,
corridor,27,26,78,,,
oceanographer,27,24,52,,,
parachutist,27,25,44,,,
thermometer,27,25,50,,,
cap,27,26,73,,,
trapeze,27,23,48,,,
essay,27,26,79,,,
rod,27,24,55,,,
burger,27,26,75,,,
sibling,27,23,77,,,
hippie,27,21,48,,,
dolphin,27,24,56,,,
toy,27,24,70,,,
mice,27,24,62,,,
barman,27,24,64,,,
prankster,27,24,49,,,
choreographer,27,25,52,,,
trap,27,24,56,,,
courtyard,27,23,62,,,
bayonet,27,24,60,,,
douche,28,22,39,,,
sarong,28,21,49,,,
peashooter,28,24,43,,,
bratwurst,28,24,83,,,
backgammon,28,26,55,,,
thumbscrew,28,22,57,,,
swab,28,23,50,,,
saffron,28,26,73,,,
prosthesis,28,20,52,,,
lady,28,22,72,,,
geranium,28,21,46,,,
footpad,28,23,50,,,
chronometer,28,22,50,,,
birthmark,28,21,34,,,
barnacle,28,22,47,,,
wildlife,28,24,79,,,
suit,28,21,77,,,
stableman,28,26,59,,,
spyglass,28,24,66,,,
smuggler,28,24,53,,,
seam,28,23,39,,,
sandcastle,28,25,51,,,
salmon,28,25,75,,,
rock,28,26,81,,,
rind,28,22,55,,,
plaster,28,22,40,,,
parsley,28,26,95,,,
pantaloons,28,26,64,,,
microphone,28,27,73,,,
kindling,28,22,58,,,
joint,28,24,53,,,
hutch,28,24,69,,,
housemaid,28,28,63,,,
giblets,28,22,54,,,
fir,28,20,62,,,
fastener,28,23,58,,,
dryer,28,24,48,,,
dice,28,24,62,,,
delicatessen,28,23,57,,,
cutlet,28,21,57,,,
countrywoman,28,22,59,,,
charcoal,28,26,71,,,
bosom,28,22,52,,,
bloomers,28,21,70,,,
broiler,28,25,43,,,
footbridge,28,26,76,,,
pitcher,28,25,67,,,
politician,28,22,54,,,
duffel,28,22,51,,,
glider,28,25,52,,,
machine,28,24,78,,,
gadget,28,21,63,,,
penknife,28,24,82,,,
clerk,28,23,66,,,
pottery,28,26,64,,,
dispenser,28,21,39,,,
cheerleader,28,22,43,,,
fishbone,28,24,50,,,
windshield,28,21,50,,,
bathtub,28,26,79,,,
hat,28,26,69,,,
congresswoman,28,23,52,,,
hamburger,28,26,88,,,
lace,28,22,39,,,
jar,28,24,61,,,
dwarf,28,20,38,,,
rocker,28,24,56,,,
coffin,28,20,47,,,
friend,28,25,79,,,
mousse,28,21,45,,,
rubber,28,20,43,,,
sandalwood,28,20,43,,,
dwelling,28,20,59,,,
laboratory,28,21,47,,,
playhouse,28,24,52,,,
knee,28,25,67,,,
skateboard,28,26,68,,,
bracelet,28,23,70,,,
faucet,28,23,58,,,
me,28,24,171,,,
ant,28,21,70,,,
moustache,28,25,66,,,
pelvis,28,25,63,,,
democrat,28,20,28,,,
mallet,28,24,59,,,
goalkeeper,28,22,49,,,
greyhound,28,22,68,,,
microscope,28,27,66,,,
lobster,28,24,72,,,
rib,28,25,55,,,
moonshine,28,25,70,,,
bleach,28,26,84,,,
violin,28,23,59,,,
fryer,28,24,61,,,
grandpa,28,22,73,,,
object,28,21,96,,,
ballerina,28,26,73,,,
photocopy,28,23,55,,,
woodwind,28,20,60,,,
wolfhound,28,21,65,,,
scrotum,28,19,37,,,
sundae,28,23,69,,,
baby,28,26,97,,,
portrait,28,23,75,,,
button,28,24,61,,,
escalator,28,25,48,,,
apple,28,26,83,,,
lemonade,28,28,61,,,
kettle,28,25,48,,,
xylophone,28,25,56,,,
wineglass,28,27,67,,,
waffle,28,22,69,,,
violinist,28,22,44,,,
toothbrush,28,24,74,,,
throne,28,20,43,,,
taillight,28,24,36,,,
tabloid,28,23,64,,,
sweatband,28,26,64,,,
stepson,28,24,54,,,
starch,28,23,50,,,
spacesuit,28,22,51,,,
skeleton,28,24,51,,,
shoe,28,25,76,,,
sheepdog,28,25,82,,,
saddlebag,28,24,64,,,
rose,28,26,94,,,
rope,28,27,89,,,
robber,28,25,46,,,
recorder,28,22,46,,,
postcard,28,24,72,,,
pizza,28,27,91,,,
pinball,28,25,51,,,
pilot,28,27,56,,,
pillow,28,28,87,,,
pamphlet,28,26,100,,,
orchid,28,20,50,,,
nightclub,28,26,90,,,
museum,28,25,65,,,
mascot,28,20,43,,,
marketeer,28,24,55,,,
lubricant,28,24,38,,,
limb,28,24,76,,,
lens,28,23,46,,,
lemon,28,27,108,,,
leg,28,28,108,,,
infant,28,24,72,,,
hardcover,28,20,38,,,
hamper,28,25,66,,,
hairline,28,21,51,,,
grater,28,20,37,,,
editor,28,22,51,,,
driver,28,20,31,,,
dormitory,28,26,70,,,
dictionary,28,26,72,,,
crouton,28,21,58,,,
copilot,28,25,62,,,
coffeepot,28,26,65,,,
coffee,28,26,80,,,
clove,28,25,63,,,
cleavers,28,24,61,,,
chevy,28,27,70,,,
cauldron,28,26,56,,,
cafeteria,28,25,70,,,
bulldozer,28,27,62,,,
bowling,28,20,56,,,
bookkeeper,28,26,69,,,
beaker,28,24,59,,,
basketball,28,26,105,,,
babe,28,21,44,,,
aluminum,28,24,56,,,
actor,28,21,54,,,
buckwheat,28,23,67,,,
box,28,25,86,,,
novel,28,25,77,,,
rodent,28,23,65,,,
oilcloth,28,22,60,,,
cookie,28,24,86,,,
backpack,28,22,63,,,
lubrication,28,25,47,,,
toe,28,26,77,,,
silkworm,28,20,32,,,
programmer,28,23,47,,,
thread,28,24,61,,,
leopard,28,25,74,,,
armor,28,27,64,,,
adapter,28,24,51,,,
ring,28,23,73,,,
lizard,28,23,54,,,
quill,28,27,59,,,
iguana,28,24,56,,,
schoolhouse,28,24,60,,,
muffler,28,22,46,,,
cadillac,28,23,77,,,
sunflower,28,25,80,,,
steroids,28,21,58,,,
bugle,28,23,57,,,
checkerboard,28,23,52,,,
testes,28,22,48,,,
kelp,28,23,52,,,
handsaw,28,28,68,,,
memorabilia,28,26,86,,,
nutshell,28,24,54,,,
sleigh,28,26,61,,,
rum,28,26,61,,,
mincemeat,28,25,59,,,
frame,28,27,62,,,
groundsman,28,22,58,,,
eggplant,28,26,73,,,
creek,28,26,68,,,
body,28,24,117,,,
plum,28,26,72,,,
hoe,28,24,59,,,
saleslady,28,26,72,,,
hardware,28,25,56,,,
asparagus,28,27,83,,,
sundeck,28,27,79,,,
storekeeper,28,25,61,,,
refrigerator,28,26,68,,,
flounder,28,24,68,,,
gondola,28,24,55,,,
teabag,28,24,49,,,
assemblyman,28,23,38,,,
bottle,28,23,82,,,
satchel,28,25,59,,,
hotplate,28,24,51,,,
blower,28,26,43,,,
paraphernalia,28,19,47,,,
paintbox,28,26,66,,,
earwax,29,26,50,,,
gourd,29,27,62,,,
spreader,29,24,54,,,
femur,29,24,63,,,
lance,29,19,44,,,
wingman,29,22,39,,,
erection,29,28,54,,,
palm,29,24,89,,,
schoolgirl,29,27,68,,,
poultry,29,20,82,,,
mandolin,29,28,76,,,
lyre,29,26,49,,,
lobe,29,20,44,,,
hypnotist,29,23,51,,,
hook,29,26,68,,,
harpsichord,29,26,67,,,
guest,29,23,71,,,
gazebo,29,28,74,,,
gavel,29,27,65,,,
chrysanthemum,29,25,58,,,
bonbon,29,27,73,,,
bobsleigh,29,27,59,,,
baklava,29,26,75,,,
acne,29,20,40,,,
woodpecker,29,22,48,,,
turntable,29,23,51,,,
turnip,29,28,104,,,
sugar,29,24,75,,,
spike,29,23,60,,,
sandbag,29,24,50,,,
preschooler,29,25,65,,,
postmaster,29,27,63,,,
playsuit,29,24,67,,,
painkiller,29,24,50,,,
obstetrician,29,21,52,,,
nightlight,29,25,59,,,
mulberry,29,22,91,,,
leotard,29,26,89,,,
lanyard,29,22,69,,,
gymnasium,29,24,62,,,
grape,29,26,82,,,
floor,29,28,110,,,
enemy,29,23,45,,,
enamel,29,21,36,,,
bondsman,29,22,44,,,
blueberry,29,27,92,,,
bazooka,29,29,61,,,
opal,29,20,34,,,
munitions,29,21,55,,,
kiln,29,26,48,,,
hitchhiker,29,27,58,,,
seashore,29,25,92,,,
clothespin,29,27,62,,,
whisk,29,27,58,,,
carpenter,29,25,55,,,
guestroom,29,27,67,,,
mum,29,27,65,,,
catwalk,29,26,71,,,
spade,29,21,45,,,
insole,29,20,36,,,
slush,29,26,60,,,
swing,29,26,61,,,
poker,29,26,66,,,
flag,29,26,71,,,
rook,29,24,62,,,
camera,29,26,56,,,
wall,29,23,74,,,
eyeglasses,29,28,66,,,
putty,29,21,51,,,
antiseptics,29,22,49,,,
handlebar,29,25,64,,,
produce,29,21,78,,,
briefs,29,20,45,,,
pasta,29,25,84,,,
bookmarker,29,26,56,,,
visor,29,21,53,,,
souffle,29,23,70,,,
dust,29,24,32,,,
bookcase,29,23,45,,,
waistband,29,22,38,,,
husky,29,23,57,,,
matchbox,29,26,43,,,
jewel,29,26,55,,,
sirloin,29,25,77,,,
yarn,29,27,68,,,
wheelbarrow,29,27,66,,,
vanilla,29,26,61,,,
umbrella,29,25,72,,,
tuna,29,26,87,,,
trolley,29,28,65,,,
triceps,29,25,59,,,
teaspoon,29,29,74,,,
tartar,29,21,35,,,
supper,29,23,62,,,
supervisor,29,22,67,,,
storybook,29,29,75,,,
stagecoach,29,25,63,,,
spool,29,22,46,,,
rifle,29,29,102,,,
projector,29,24,49,,,
poet,29,28,60,,,
plug,29,21,48,,,
pig,29,27,73,,,
pepperoni,29,26,60,,,
pebble,29,26,64,,,
panties,29,26,63,,,
olive,29,26,86,,,
knitting,29,21,43,,,
key,29,27,68,,,
jersey,29,21,43,,,
honeysuckle,29,25,72,,,
hen,29,21,52,,,
heads,29,25,56,,,
headpiece,29,26,55,,,
grave,29,27,72,,,
female,29,21,55,,,
dorm,29,24,85,,,
door,29,28,96,,,
document,29,21,71,,,
dinnerware,29,29,83,,,
cosmetics,29,21,47,,,
cooler,29,26,75,,,
collarbone,29,21,37,,,
cauliflower,29,29,96,,,
catapult,29,26,42,,,
cat,29,25,55,,,
castle,29,23,66,,,
cashier,29,23,60,,,
cabdriver,29,26,56,,,
burlap,29,20,51,,,
blackboard,29,29,69,,,
bike,29,28,101,,,
belongings,29,22,52,,,
bellman,29,19,55,,,
banknote,29,21,43,,,
banjo,29,28,60,,,
bandage,29,27,79,,,
attire,29,22,65,,,
stockbroker,29,23,64,,,
prize,29,26,56,,,
turtleneck,29,26,69,,,
antennae,29,21,56,,,
jam,29,23,82,,,
switchblade,29,28,77,,,
steak,29,25,79,,,
couch,29,29,105,,,
tear,29,25,44,,,
godparent,29,24,61,,,
sweater,29,23,70,,,
eyeball,29,28,70,,,
bellboy,29,22,48,,,
tenderloin,29,22,74,,,
espresso,29,24,61,,,
chimpanzee,29,24,66,,,
basin,29,23,56,,,
placenta,29,23,55,,,
topsoil,29,24,54,,,
trinket,29,24,64,,,
hamstring,29,28,70,,,
granddaughter,29,23,66,,,
driftwood,29,26,69,,,
ferret,29,26,61,,,
snowdrift,29,22,56,,,
myself,29,23,101,,,
kilt,29,28,47,,,
arrow,29,26,67,,,
token,29,25,72,,,
vessel,29,22,58,,,
platter,29,26,67,,,
bench,29,28,83,,,
newsstand,29,26,65,,,
teapot,29,26,53,,,
claw,29,26,65,,,
money,29,28,89,,,
cake,29,27,97,,,
keyboard,29,28,65,,,
lifeboat,29,27,62,,,
racket,29,23,59,,,
lounger,29,29,81,,,
chalice,29,26,57,,,
nephew,29,23,69,,,
newscaster,29,23,43,,,
rainwater,29,25,79,,,
lettuce,29,22,65,,,
gunpowder,29,22,47,,,
goalpost,29,21,48,,,
stoop,29,21,43,,,
wristlet,29,26,59,,,
tapioca,30,26,56,,,
musket,30,25,59,,,
wildcat,30,20,50,,,
corset,30,23,48,,,
chambermaid,30,23,61,,,
cadet,30,21,38,,,
arachnid,30,23,78,,,
watchdog,30,28,79,,,
streetwalker,30,27,55,,,
sombrero,30,24,51,,,
slipcover,30,24,58,,,
revolver,30,29,95,,,
phonograph,30,27,69,,,
pegboard,30,23,41,,,
mothball,30,22,47,,,
metal,30,21,56,,,
maidservant,30,27,71,,,
hubcap,30,25,69,,,
hearse,30,23,69,,,
hangnail,30,24,55,,,
fountainhead,30,25,44,,,
fixture,30,24,48,,,
councilwoman,30,20,48,,,
cookbook,30,29,101,,,
cock,30,22,51,,,
cassette,30,29,86,,,
algae,30,25,53,,,
snowflake,30,21,52,,,
smock,30,19,60,,,
podiatrist,30,22,47,,,
herb,30,28,89,,,
cornstarch,30,26,58,,,
jurist,30,21,52,,,
uncle,30,21,50,,,
ham,30,24,86,,,
defendant,30,20,39,,,
straightedge,30,25,63,,,
kazoo,30,24,52,,,
cardigan,30,24,79,,,
ski,30,21,50,,,
entree,30,19,59,,,
tenant,30,26,48,,,
pup,30,22,62,,,
dipstick,30,22,34,,,
canine,30,20,72,,,
puzzle,30,21,43,,,
pedicurist,30,27,70,,,
caterpillar,30,20,46,,,
blister,30,21,46,,,
meadow,30,23,65,,,
timber,30,20,61,,,
plumber,30,25,49,,,
afro,30,19,60,,,
surfboard,30,23,68,,,
earth,30,24,69,,,
biologist,30,22,55,,,
egg,30,27,115,,,
lounge,30,27,92,,,
helmet,30,28,72,,,
cork,30,22,65,,,
ear,30,28,67,,,
mantle,30,25,59,,,
bodybuilder,30,23,54,,,
sharpener,30,22,52,,,
pharmacy,30,22,62,,,
scraper,30,24,63,,,
motor,30,24,75,,,
juror,30,24,61,,,
servant,30,25,77,,,
passenger,30,19,41,,,
ointment,30,26,47,,,
surveyor,30,20,39,,,
pocketbook,30,25,45,,,
cousin,30,19,40,,,
woods,30,25,59,,,
whistle,30,28,56,,,
trench,30,24,67,,,
tile,30,24,53,,,
streets,30,26,102,,,
sledgehammer,30,28,60,,,
shampoo,30,30,76,,,
sapphire,30,23,54,,,
road,30,30,80,,,
questionnaire,30,27,59,,,
pulley,30,28,66,,,
policeman,30,25,61,,,
platform,30,24,57,,,
muffin,30,30,72,,,
larvae,30,19,30,,,
knickers,30,26,77,,,
guy,30,25,80,,,
gooseberry,30,25,60,,,
glass,30,28,91,,,
gingerbread,30,26,86,,,
fishpond,30,24,61,,,
fish,30,29,112,,,
festival,30,26,83,,,
fern,30,27,77,,,
farm,30,26,80,,,
dough,30,26,79,,,
debris,30,26,64,,,
crap,30,21,41,,,
container,30,26,77,,,
casket,30,26,70,,,
beautician,30,23,47,,,
baggage,30,26,82,,,
badge,30,29,70,,,
apparel,30,28,91,,,
diaper,30,25,63,,,
brick,30,26,78,,,
bucket,30,29,91,,,
crown,30,23,60,,,
suture,30,26,48,,,
flapjack,30,26,85,,,
sedan,30,24,84,,,
pastry,30,26,99,,,
seedling,30,27,64,,,
kitchen,30,28,94,,,
treadmill,30,30,71,,,
cage,30,24,55,,,
lantern,30,27,60,,,
croissant,30,22,59,,,
inventor,30,23,52,,,
girlfriend,30,23,66,,,
oxtail,30,22,49,,,
spareribs,30,22,60,,,
doctor,30,28,92,,,
hairpin,30,28,72,,,
milkshake,30,29,107,,,
earring,30,26,91,,,
seasoning,30,26,73,,,
cheeseburger,30,30,103,,,
cleat,30,27,66,,,
author,30,27,83,,,
cocktail,30,29,107,,,
battleship,30,26,70,,,
brochure,30,27,74,,,
armband,30,25,64,,,
banquet,30,23,56,,,
eyebath,30,25,40,,,
mulch,30,25,41,,,
avocado,30,28,80,,,
fruit,30,28,89,,,
roll,30,27,58,,,
clay,30,26,79,,,
tube,30,28,70,,,
duck,30,25,79,,,
landscape,30,28,70,,,
shell,30,28,73,,,
orchard,30,24,57,,,
coleslaw,30,26,72,,,
investigator,30,26,59,,,
robot,30,27,66,,,
sock,30,28,80,,,
antibiotics,30,22,47,,,
godmother,30,25,63,,,
mortician,30,20,43,,,
prosecutor,30,23,59,,,
hoop,30,27,69,,,
waste,30,27,66,,,
picture frame,30,29,88,,,
crutch,30,29,70,,,
waistcoat,31,27,71,,,
coverall,31,26,65,,,
quadriceps,31,26,76,,,
gyroscope,31,26,49,,,
gatehouse,31,28,61,,,
crypt,31,22,57,,,
washstand,31,28,56,,,
vinyl,31,25,60,,,
vinegar,31,28,82,,,
vinaigrette,31,27,56,,,
theologian,31,21,34,,,
talisman,31,20,40,,,
staff,31,30,77,,,
sprinkler,31,25,74,,,
southerner,31,22,55,,,
slime,31,29,81,,,
shoestring,31,30,74,,,
shipmate,31,25,58,,,
screwdriver,31,31,82,,,
schoolboy,31,23,61,,,
puke,31,26,45,,,
peanuts,31,31,111,,,
opium,31,27,64,,,
neckband,31,22,35,,,
nanny,31,25,63,,,
mosquito,31,30,73,,,
merchant,31,26,55,,,
loincloth,31,22,50,,,
loin,31,25,59,,,
intern,31,26,67,,,
grandson,31,21,66,,,
generator,31,27,52,,,
flashbulb,31,28,65,,,
evergreen,31,28,57,,,
drugstore,31,25,49,,,
damsel,31,24,35,,,
cymbal,31,28,70,,,
curler,31,23,43,,,
cubical,31,26,64,,,
cowskin,31,27,56,,,
commode,31,25,62,,,
collie,31,23,81,,,
cent,31,23,50,,,
bum,31,25,58,,,
billfold,31,25,42,,,
mint,31,27,81,,,
lampshade,31,26,46,,,
boa,31,21,55,,,
billiards,31,28,52,,,
hinge,31,22,44,,,
taxpayer,31,23,42,,,
jaguar,31,25,53,,,
packet,31,25,63,,,
stirrup,31,24,53,,,
captain,31,25,51,,,
conditioner,31,24,55,,,
crotch,31,20,29,,,
dog,31,28,91,,,
zucchini,31,24,88,,,
whip,31,25,57,,,
tailor,31,24,56,,,
surgeon,31,27,78,,,
stirrer,31,27,64,,,
staple,31,27,58,,,
staircase,31,29,75,,,
speedboat,31,28,80,,,
scotch,31,25,71,,,
rat,31,24,61,,,
plate,31,27,90,,,
page,31,30,88,,,
outhouse,31,22,47,,,
musician,31,29,89,,,
medal,31,25,69,,,
leather,31,25,86,,,
holder,31,25,54,,,
headlight,31,30,63,,,
eye,31,29,96,,,
dye,31,23,60,,,
diploma,31,24,58,,,
deliverer,31,26,52,,,
cider,31,30,69,,,
cab,31,31,80,,,
almond,31,27,65,,,
child,31,26,82,,,
shovel,31,30,77,,,
auditorium,31,26,68,,,
woodcraft,31,24,45,,,
honeydew,31,27,53,,,
breadbasket,31,27,68,,,
ice,31,25,84,,,
slug,31,25,51,,,
garage,31,27,66,,,
buddy,31,27,77,,,
theatergoer,31,26,52,,,
poinsettia,31,28,71,,,
dinner,31,26,84,,,
firewood,31,30,92,,,
yardstick,31,26,49,,,
raft,31,29,74,,,
squirrel,31,26,66,,,
addict,31,19,35,,,
cotton,31,27,59,,,
cord,31,28,81,,,
pedestal,31,27,68,,,
bystander,31,25,58,,,
herbivore,31,23,48,,,
blood,31,27,64,,,
propeller,31,26,57,,,
bun,31,23,63,,,
book,31,29,103,,,
biscuit,31,27,82,,,
chapel,31,30,89,,,
parka,31,28,71,,,
grapevine,31,24,50,,,
torchlight,31,28,65,,,
motel,31,28,78,,,
drug,31,28,81,,,
ashcan,31,24,40,,,
illustrator,31,29,62,,,
client,31,24,60,,,
purse,31,28,71,,,
wrapper,31,28,73,,,
elbow,31,30,70,,,
mayor,31,27,66,,,
fireplace,31,31,72,,,
scalpel,31,31,69,,,
windowsill,31,30,63,,,
drumstick,31,29,76,,,
grits,31,30,63,,,
housecoat,31,29,73,,,
step,31,29,72,,,
valet,31,29,50,,,
cube,31,25,68,,,
kettledrum,31,24,48,,,
parakeet,31,25,64,,,
turban,31,24,52,,,
easel,31,26,73,,,
thigh,31,24,64,,,
pole,31,26,70,,,
raindrop,31,25,59,,,
pedal,31,30,69,,,
sheepskin,31,25,65,,,
keyhole,31,30,62,,,
paprika,31,31,76,,,
cabbage,31,29,93,,,
powderpuff,31,25,61,,,
cashmere,32,22,68,,,
teardrop,32,28,53,,,
forehead,32,21,55,,,
yacht,32,32,109,,,
wool,32,26,76,,,
vegetable,32,31,124,,,
thumb,32,31,92,,,
terrycloth,32,20,44,,,
telescope,32,31,72,,,
teenager,32,25,69,,,
straw,32,30,80,,,
steamboat,32,32,78,,,
snowball,32,29,92,,,
shirttail,32,29,60,,,
sculpture,32,29,86,,,
scorpion,32,26,70,,,
recruiter,32,24,52,,,
pushcart,32,30,68,,,
pullover,32,20,49,,,
potato,32,29,104,,,
pineapple,32,28,78,,,
pincushion,32,28,60,,,
peacock,32,25,67,,,
outlet,32,30,59,,,
newt,32,25,54,,,
motorcycle,32,30,88,,,
melon,32,31,101,,,
male,32,28,79,,,
liquid,32,31,139,,,
lei,32,26,61,,,
lapdog,32,27,82,,,
lambskin,32,23,41,,,
hog,32,28,76,,,
harmonica,32,30,67,,,
forceps,32,29,67,,,
feast,32,27,80,,,
eel,32,30,82,,,
drawing,32,29,73,,,
doghouse,32,27,53,,,
dildo,32,24,73,,,
detergent,32,29,54,,,
dartboard,32,27,71,,,
darkroom,32,27,63,,,
dancer,32,29,74,,,
crumpet,32,30,76,,,
crucifix,32,27,64,,,
coin,32,26,78,,,
cliff,32,27,65,,,
chaplain,32,24,58,,,
chairman,32,26,52,,,
bellflower,32,30,97,,,
ass,32,25,62,,,
amphibian,32,27,70,,,
puck,32,22,64,,,
orphan,32,22,66,,,
newlyweds,32,22,52,,,
heroin,32,22,49,,,
footplate,32,25,42,,,
croquet,32,26,60,,,
boy,32,24,75,,,
actress,32,25,72,,,
pacemaker,32,25,50,,,
flooring,32,25,80,,,
asshole,32,27,56,,,
pendant,32,24,42,,,
urinal,32,25,43,,,
thong,32,23,53,,,
tar,32,24,52,,,
stall,32,24,54,,,
sofa,32,32,94,,,
soccer,32,31,95,,,
slacks,32,25,54,,,
runner,32,25,74,,,
onion,32,29,109,,,
midwife,32,27,67,,,
loaf,32,20,47,,,
firearm,32,31,85,,,
cattle,32,24,73,,,
candle,32,32,88,,,
calculator,32,27,82,,,
bullet,32,30,72,,,
aunt,32,24,59,,,
lasso,32,28,62,,,
pill,32,26,61,,,
stapler,32,26,54,,,
shirt,32,30,104,,,
slide,32,27,59,,,
merchantman,32,29,59,,,
snot,32,25,59,,,
poster,32,31,103,,,
prisoner,32,25,68,,,
crosswalk,32,28,72,,,
instructor,32,30,82,,,
tray,32,28,70,,,
saltwater,32,25,56,,,
jogger,32,27,51,,,
copybook,32,26,61,,,
doorstep,32,30,84,,,
tuba,32,28,84,,,
plywood,32,29,80,,,
locker,32,29,65,,,
scrubber,32,31,66,,,
wine,32,32,84,,,
accessory,32,25,72,,,
cheesecake,32,26,87,,,
horsewhip,32,29,54,,,
skate,32,26,63,,,
attorney,32,24,53,,,
tabasco,32,26,54,,,
ginger,32,28,66,,,
footballer,32,26,80,,,
screw,32,29,67,,,
conductor,32,29,50,,,
pantry,32,29,51,,,
shelter,32,29,77,,,
beef,32,29,81,,,
block,32,26,82,,,
strainer,32,26,49,,,
cane,32,29,83,,,
belly,32,24,62,,,
chemicals,32,29,81,,,
ashtray,32,27,60,,,
cable,32,29,69,,,
pacifier,32,31,72,,,
blouse,32,31,82,,,
chessboard,32,29,70,,,
mongoose,32,23,63,,,
cocaine,32,23,69,,,
checklist,32,28,65,,,
cedar,32,27,74,,,
sandbank,32,26,55,,,
worker,32,29,79,,,
copper,32,25,58,,,
toboggan,33,31,68,,,
manhole,33,26,58,,,
flesh,33,29,80,,,
bridegroom,33,27,66,,,
balm,33,22,43,,,
woodshed,33,30,63,,,
wing,33,31,79,,,
tugboat,33,31,69,,,
tombstone,33,29,63,,,
sweetener,33,27,56,,,
streetcar,33,32,105,,,
stepchild,33,28,83,,,
statue,33,29,96,,,
shorts,33,28,92,,,
saltshaker,33,31,79,,,
salesgirl,33,29,66,,,
roadway,33,31,93,,,
rhinestone,33,24,65,,,
reindeer,33,23,60,,,
puppet,33,32,86,,,
pudding,33,30,80,,,
primrose,33,23,48,,,
pillowcase,33,31,83,,,
pea,33,31,98,,,
nightcaps,33,32,78,,,
necktie,33,23,58,,,
muzzle,33,28,47,,,
morsel,33,20,37,,,
mistress,33,27,62,,,
mink,33,21,48,,,
mango,33,28,91,,,
mammal,33,26,84,,,
maize,33,26,54,,,
mail,33,30,107,,,
luggage,33,32,97,,,
longbow,33,28,57,,,
lodging,33,30,62,,,
leftovers,33,33,104,,,
laxative,33,32,62,,,
lawyer,33,30,70,,,
ladder,33,32,81,,,
kiwi,33,30,116,,,
joystick,33,23,43,,,
interviewer,33,27,70,,,
inspector,33,30,68,,,
icing,33,28,67,,,
hose,33,31,71,,,
horsefly,33,29,69,,,
horn,33,29,76,,,
holster,33,26,44,,,
harpist,33,29,54,,,
grasshopper,33,27,76,,,
grass,33,30,110,,,
goatskin,33,20,39,,,
glassblower,33,30,55,,,
gambler,33,26,61,,,
footbath,33,29,56,,,
flask,33,28,68,,,
fairground,33,26,78,,,
fabric,33,30,96,,,
engine,33,28,69,,,
eggbeater,33,32,74,,,
earphone,33,32,80,,,
dynamite,33,31,75,,,
doorknocker,33,30,77,,,
divorcee,33,24,51,,,
cuticle,33,32,67,,,
curb,33,29,82,,,
copier,33,30,69,,,
clitoris,33,28,68,,,
chinchilla,33,29,83,,,
chairwoman,33,28,53,,,
cellophane,33,28,56,,,
celery,33,27,73,,,
cathedral,33,29,69,,,
caseworker,33,28,58,,,
carriage,33,31,87,,,
broach,33,26,66,,,
bolt,33,31,72,,,
boathouse,33,29,80,,,
bedroom,33,31,122,,,
beagle,33,28,88,,,
bangle,33,25,57,,,
ball,33,32,154,,,
axle,33,20,42,,,
appraiser,33,23,47,,,
abdomen,33,24,55,,,
stuff,33,20,98,,,
sportswriter,33,27,64,,,
spit,33,26,59,,,
limestone,33,28,75,,,
decor,33,26,65,,,
crumb,33,25,79,,,
velvet,33,21,48,,,
juice,33,30,81,,,
beard,33,27,78,,,
wiring,33,20,54,,,
softball,33,31,100,,,
electrocardiogram,33,26,36,,,
chili,33,30,75,,,
chickenfeed,33,29,59,,,
earplug,33,27,51,,,
shaker,33,30,64,,,
journal,33,30,98,,,
lodge,33,30,83,,,
